asset_id,vibration_g_rms,bearing_temp_c,shaft_rpm,kurtosis
AST-BRG-00001,2.2603385585826037,50.70234102415436,2572.7901078806226,5.287504902534635
AST-BRG-00002,4.968357240126606,49.81872794431999,3133.0375903199674,3.2412613570522146
AST-BRG-00003,3.940371526513604,89.3752748312622,3024.3862314963817,6.251296622425704
AST-BRG-00004,3.313694875726072,49.972771990970365,1569.359771265057,5.136399827997739
AST-BRG-00005,1.2332876100794516,51.316983567717855,1558.1987273795373,3.1759766992949032
AST-BRG-00006,1.2331742455801524,80.56389574507782,1843.618482587792,6.6380536471691896
AST-BRG-00007,0.7729929771905375,61.984390547032405,2066.579343218489,4.728971492341879
AST-BRG-00008,4.571027885142196,81.60263341731087,2180.293395380358,2.8134633430481166
AST-BRG-00009,3.3252405551930817,38.92196945386311,2831.2733204000288,5.195381488984789
AST-BRG-00010,3.827941115641414,64.25427162040306,1336.0330371980049,3.588755300155084
AST-BRG-00011,0.5967471231902715,37.016816010996955,1283.2144901425593,5.955881843072401
AST-BRG-00012,5.058576305161374,38.75919220732127,2140.5853510653815,6.0166349163346196
AST-BRG-00013,4.412480411761982,89.38624720066466,2873.192861131153,6.7094736301750455
AST-BRG-00014,1.497993820187898,43.354722267055706,1664.244823095558,4.6580389834053655
AST-BRG-00015,1.354577345873373,66.94524093651303,2739.610755015004,4.45631458282927
AST-BRG-00016,1.362001196311139,59.66573615604239,1823.5875310567187,5.739945103419867
AST-BRG-00017,1.9299385419098274,55.84059957553056,3326.6066611524393,3.0696238222702843
AST-BRG-00018,2.966355228671518,88.99000074123634,3349.6558662398797,4.851736709310433
AST-BRG-00019,2.530141587617944,36.30940380652937,1913.4892902751835,4.848864680562659
AST-BRG-00020,1.868776958930797,74.82738117053535,1751.9850095117772,2.884734428084665
AST-BRG-00021,3.3757086051951837,92.80366605281303,2187.1295329589548,4.297331567679729
AST-BRG-00022,1.1556211450645968,68.61009100771051,1777.2758044323568,6.169124633838969
AST-BRG-00023,1.8730798481155253,91.20934772198551,2813.7212239000887,6.18146057457704
AST-BRG-00024,2.2219006634803513,38.13547275716142,3182.555242915885,2.9267219591546283
AST-BRG-00025,2.643528925820069,60.12759914444968,2815.421114186921,2.8900997958156727
AST-BRG-00026,4.190327018547164,50.60946745772307,3178.4410733984387,3.629590551108322
AST-BRG-00027,1.4384667761442906,78.84925789884379,2152.781189297938,6.261494068982172
AST-BRG-00028,2.9169018605439745,93.8778254298348,1575.160729701266,3.0542811158160452
AST-BRG-00029,3.2843484736515998,50.39180374665487,2971.082273754221,5.595986251298019
AST-BRG-00030,0.7183169397839893,74.25047608844446,2065.138812339729,2.935012164336344
